,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Why am I not seeing any megabus option for that route? :'(,FALSE,0,NA,4/27/16 14:39,FALSE,NA,7.25334E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheBrodZiplomat,0,FALSE,FALSE,NA,NA
2,Megabus always stopping when I don‰Ûªt want them to ’Ê_’_ã,FALSE,0,NA,4/27/16 14:28,FALSE,NA,7.25331E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iëÙS</a>",_KayyDubb,0,FALSE,FALSE,NA,NA
3,@CleoCensored taking Ryanair and Megabus’Ê_’üÅ’Ê_’üâ #cheapbitch,FALSE,0,CleoCensored,4/27/16 14:27,FALSE,7.25E+17,7.25331E+17,1327636674,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",coraline_ka,0,FALSE,FALSE,NA,NA
4,The fucking megabus is smoking,FALSE,0,NA,4/27/16 14:19,FALSE,NA,7.25329E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alicesmith13,0,FALSE,FALSE,NA,NA
5,@megabus absolute incompetence!,FALSE,0,megabus,4/27/16 14:13,FALSE,NA,7.25327E+17,30965315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Astro_JohnWayne,0,FALSE,FALSE,NA,NA
6,@MeganGabriellle ’Ê_’ü©’Ê_’ü© es ok. Maybe i'll be up in the next two weeks! Megabus er su'innnn,FALSE,1,MeganGabriellle,4/27/16 14:11,FALSE,7.25E+17,7.25326E+17,21418700,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Erin_Darcel,0,FALSE,FALSE,NA,NA
7,@petal_pants get us a couple of megabus  tickets I‰Ûªll meet you asap,FALSE,0,petal_pants,4/27/16 14:11,FALSE,7.25E+17,7.25326E+17,213448386,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iëÙS</a>",Arunedh,0,FALSE,FALSE,NA,NA
8,That moment you realise you have half a sandwich left over from lunch in your bag and are taking a megabus. Welcome to #unemployment,FALSE,0,NA,4/27/16 13:50,FALSE,NA,7.25321E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CarolineCopsey,0,FALSE,FALSE,NA,NA
9,"@megabus I was right outside behind a light when I missed the bus, you should account for Houston flooding next time",FALSE,0,megabus,4/27/16 13:45,FALSE,NA,7.2532E+17,30965315,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Astro_JohnWayne,0,FALSE,FALSE,NA,NA
10,"If you spot Bladon Rogers, 14 or Christopher Kemp, call 911 or @CrimelineFL Last seen getting on MegaBus in Orl 4/19 https://t.co/NysuIYByzh",FALSE,0,NA,4/27/16 13:39,FALSE,NA,7.25319E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",OrlandoPolice,12,FALSE,FALSE,NA,NA
11,On route to Inverness on the mighty Megabus #OiOi,FALSE,0,NA,4/27/16 13:32,FALSE,NA,7.25317E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",richymuirhead,0,FALSE,FALSE,NA,NA
12,@kordeibaybay @MUSlCALKORDEI what happened to u taking the megabus dionne!!!! https://t.co/FEzDo7ShWw,FALSE,4,kordeibaybay,4/27/16 13:27,FALSE,7.25E+17,7.25315E+17,2300378299,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tooturntharmo,1,FALSE,FALSE,NA,NA
13,@adammooo We would like to investigate this concern. Please DM us your reservation number,FALSE,0,adammooo,4/27/16 13:05,FALSE,7.25E+17,7.2531E+17,322885964,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
14,"""Zika Virus spreads through megabus; only affects losers.""",FALSE,1,NA,4/27/16 13:00,FALSE,NA,7.25309E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tomsfeeney,0,FALSE,FALSE,NA,NA
15,love u megabus,FALSE,0,NA,4/27/16 13:00,FALSE,NA,7.25309E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",adammooo,0,FALSE,FALSE,NA,NA
16,love it when megabus is delayed:),FALSE,0,NA,4/27/16 13:00,FALSE,NA,7.25309E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",adammooo,0,FALSE,FALSE,NA,NA
17,@MadBaker @megabus Tickets are usually available around 45-60 days in advance,FALSE,1,MadBaker,4/27/16 12:55,FALSE,7.25E+17,7.25307E+17,546151330,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabusuk,0,FALSE,FALSE,NA,NA
18,@kl_guest you have reached megabus in North America. @megabusuk would be able to help or you could email enquiries@megabus.com,FALSE,0,kl_guest,4/27/16 12:53,FALSE,7.25E+17,7.25307E+17,560396577,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
19,@MadBaker you have reached megabus in North America. @megabusuk would be able to help or you could email enquiries@megabus.com,FALSE,0,MadBaker,4/27/16 12:53,FALSE,7.25E+17,7.25307E+17,546151330,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
20,"@kl_guest @megabus Hi there, it has departed and is currently trying to navigate through London",FALSE,0,kl_guest,4/27/16 12:53,FALSE,7.25E+17,7.25307E+17,560396577,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabusuk,0,FALSE,FALSE,NA,NA
21,On our way to a Siena with #Megabus,FALSE,0,NA,4/27/16 12:50,FALSE,NA,7.25306E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AiduraJamaludin,0,FALSE,FALSE,NA,NA
