,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @FatLadOnBike: This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs,FALSE,0,NA,4/26/16 17:15,FALSE,NA,725010345719373000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RyanLaverie,3,TRUE,FALSE,NA,NA
2,RT @FatLadOnBike: This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs,FALSE,0,NA,4/26/16 17:14,FALSE,NA,725010170212933000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",OnMeArse_,3,TRUE,FALSE,NA,NA
3,@MissLadE_Sings Try downloading the megabus mobile app and see if it works.,FALSE,0,MissLadE_Sings,4/26/16 17:13,FALSE,7.25E+17,725009919607447000,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
4,"I use @megabus all over the world, and only in the South do they have this annoying video. Does this speak to the riders of the region? ’Ê_’üÂ",FALSE,0,NA,4/26/16 17:13,FALSE,NA,725009856952938000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",durellarthur,0,FALSE,FALSE,NA,NA
5,RT @FatLadOnBike: This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs,FALSE,0,NA,4/26/16 17:12,FALSE,NA,725009704703897000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ronnoclligam,3,TRUE,FALSE,NA,NA
6,"Bruh, I hope they don't play this ""10 minute"" @megabus infomercial/safety video every time we reload! It's annoying and unnecessary. #survey",FALSE,0,NA,4/26/16 17:09,FALSE,NA,725008792111468000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",durellarthur,0,FALSE,FALSE,NA,NA
7,Either someone is cutting their nails on this #megabus or there is a sound very similar to #nailclippers #publictransportproblems,FALSE,0,NA,4/26/16 17:04,FALSE,NA,725007587016626000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",charlotthopkins,0,FALSE,FALSE,NA,NA
8,@megabus yes. The mobile site won't highlight the departure date when I select it. It keeps saying please select a departure date,FALSE,0,megabus,4/26/16 17:04,FALSE,7.25E+17,725007586878185000,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MissLadE_Sings,0,FALSE,FALSE,NA,NA
9,@MissLadE_Sings I'm not sure why it's giving you an issue. We have the 2:35 pm bus available for today.,FALSE,0,MissLadE_Sings,4/26/16 17:02,FALSE,7.25E+17,725007149731053000,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
10,@megabus  your site doesnt work - and I have to pay booking fee over the phone #fail #badcustomerservice,FALSE,0,megabus,4/26/16 17:02,FALSE,NA,725007098954788000,30965315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",arpitgmusic,0,FALSE,FALSE,NA,NA
11,RT @megabus: Tickets are now available for travel through Sept 6!  Book spring &amp; summer travel today. https://t.co/FRGPUjrdNz https://t.co/‰Û_,FALSE,0,NA,4/26/16 17:00,FALSE,NA,725006536817426000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",riley2cool,7,TRUE,FALSE,NA,NA
12,"@megabus yes, for today April 26",FALSE,0,megabus,4/26/16 16:58,FALSE,7.25E+17,725006053302218000,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MissLadE_Sings,0,FALSE,FALSE,NA,NA
13,"@MissLadE_Sings OK for when, today?",FALSE,0,MissLadE_Sings,4/26/16 16:57,FALSE,7.25E+17,725005813878775000,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
14,How To Successfully 'Megabus' Overseas https://t.co/NmOXPPgLkF #travel #ttot,FALSE,0,NA,4/26/16 16:55,FALSE,NA,725005348331909000,NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",gonegirlsguide,0,FALSE,FALSE,NA,NA
15,"@megabus Hi, I'm trying to leave New York City on the 2:35 bus back to Philadelphia",FALSE,0,megabus,4/26/16 16:51,FALSE,7.25E+17,725004329585917000,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MissLadE_Sings,0,FALSE,FALSE,NA,NA
16,@MissLadE_Sings Hello. When are you trying to depart and to what city?,FALSE,0,MissLadE_Sings,4/26/16 16:50,FALSE,7.25E+17,725004057459458000,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabus,0,FALSE,FALSE,NA,NA
17,This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs,FALSE,2,NA,4/26/16 16:47,FALSE,NA,725003277415362000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FatLadOnBike,3,FALSE,FALSE,NA,NA
18,the megabus primary,FALSE,5,NA,4/26/16 16:45,FALSE,NA,725002943561265000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aedwardslevy,0,FALSE,FALSE,NA,NA
19,Megabus site won't let me choose a departure date therefore I can't purchase my ticket. Guess they want me to stay in NY,FALSE,0,NA,4/26/16 16:32,FALSE,NA,724999622767300000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MissLadE_Sings,0,FALSE,FALSE,NA,NA
20,The Megabus of the air!  https://t.co/NbiTeYPC3O,FALSE,0,NA,4/26/16 16:31,FALSE,NA,724999313043005000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",change_thoughts,0,FALSE,FALSE,NA,NA
21,Someone on this Megabus is watching Kelly Ripa's monologue about workplace respect very loudly without headphones.,FALSE,0,NA,4/26/16 16:26,FALSE,NA,724998066244313000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",galinja,0,FALSE,FALSE,NA,NA
22,"@MegabusHelp Waited till 5.30am for megabus, it didn't arrive, so paid &amp; took coachusa bus frm Mad-Chi. Rsn: 20-3460-042616-M4R-0530-UOW-CHI",FALSE,0,MegabusHelp,4/26/16 16:09,FALSE,NA,724993837005983000,533270484,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",elexhobby,0,FALSE,FALSE,NA,NA
23,RT @SusannaTran: @Anna_photo @megabus The poor customer service saga continues.,FALSE,0,NA,4/26/16 16:08,FALSE,NA,724993505702076000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Anna_photo,1,TRUE,FALSE,NA,NA
24,"RT @kalmes0: @Anna_photo @megabus ""MegaBus: We Make Walking Look Preferrable!""",FALSE,0,NA,4/26/16 16:08,FALSE,NA,724993492032864000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Anna_photo,1,TRUE,FALSE,NA,NA
25,I love dusting my crusty ass face off and doing some makeup on a moving bus. NYC here I come #megabus,FALSE,0,NA,4/26/16 15:58,FALSE,NA,724990931162697000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kneecoaallyn,0,FALSE,FALSE,NA,NA
26,"@Anna_photo @megabus ""MegaBus: We Make Walking Look Preferrable!""",FALSE,2,Anna_photo,4/26/16 15:51,FALSE,7.25E+17,724989357610950000,174743718,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kalmes0,1,FALSE,FALSE,NA,NA
27,@Anna_photo @megabus The poor customer service saga continues.,FALSE,1,Anna_photo,4/26/16 15:44,FALSE,7.25E+17,724987485814591000,174743718,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SusannaTran,1,FALSE,FALSE,NA,NA
28,Three Hour Masturbation On Megabus Lands Man In Jail https://t.co/PmD3Z4Of3t https://t.co/t3mXcCyF15,FALSE,0,NA,4/26/16 15:43,FALSE,NA,724987282244005000,NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",drboycewatkins1,0,FALSE,FALSE,NA,NA
29,@megabus Everyone at Glastonbury on 23 June needs postal vote for #EUref. Here's the link to register https://t.co/HJuVzQyUrv Pls RT,FALSE,0,megabus,4/26/16 15:33,FALSE,NA,724984842140659000,30965315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Bakehouse2016,0,FALSE,FALSE,NA,NA
30,@breathingstops like å£20 which isn't THAT BAD but I mean it's expensive for megabus,FALSE,0,breathingstops,4/26/16 15:31,FALSE,7.25E+17,724984140416864000,2217945237,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BURNEDTHECHURCH,0,FALSE,FALSE,NA,NA
31,I've used the @megabus &amp; @GOtransit  1s on long distance &amp; felt safe  also @translink uses them in Vctra. @mittenfight @OC_Transpo,FALSE,0,OC_Transpo,4/26/16 15:25,FALSE,7.25E+17,724982701439111000,126447030,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ottawa_Biker,0,FALSE,FALSE,NA,NA
32,"How to contact one. Also the @megabus rep that called this morning, then hung up on me, when I asked for one.",FALSE,0,Anna_photo,4/26/16 15:12,FALSE,7.25E+17,724979554922684000,174743718,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Anna_photo,0,FALSE,FALSE,NA,NA
33,THERE IS A WORKING CHARGER SOCKET ON THIS MEGABUS OMG I HAVE BEEN BLESSED,FALSE,0,NA,4/26/16 15:11,FALSE,NA,724979147446063000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Berry__Bitch,0,FALSE,FALSE,NA,NA
34,"So mega update on @megabus situation. They DM'ed me saying that a manager wouldn't be able to help me further, and refused to tell me how",FALSE,0,NA,4/26/16 15:11,FALSE,NA,724979135907565000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Anna_photo,0,FALSE,FALSE,NA,NA
