,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,date,time
1,"Oh good, @megabus getting on ""lets pretend we're an airline"" bandwagon &amp; hassling ppl 4 bag weight. Time to find better way to/from Toronto.",FALSE,0,NA,4/29/16 15:46,FALSE,NA,726075122092625000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aaronsaloman,0,FALSE,FALSE,NA,NA,4/29/16,15:46:13
2,think I'd die of shock if I ever got a megabus n it wasn't delayed at least an hour,FALSE,0,NA,4/29/16 15:42,FALSE,NA,726074215703654000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alexaaknowles,0,FALSE,FALSE,NA,NA,4/29/16,15:42:37
3,the megabus is my second home,FALSE,2,NA,4/29/16 15:39,FALSE,NA,726073550982012000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",frickingdiamond,0,FALSE,FALSE,NA,NA,4/29/16,15:39:59
4,@megabus Hi so I believe that I didn't get the experience or service I paid for. I'm on a knockoff brand bus for some unknown reason.,FALSE,0,megabus,4/29/16 15:32,FALSE,NA,726071573807960000,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",daucko12,0,FALSE,FALSE,NA,NA,4/29/16,15:32:07
5,@MichelleDBeadle Why don't you jump on MegaBus to the ATL and head to Dega with  us Sunday @TalladegaSuperS,FALSE,0,MichelleDBeadle,4/29/16 15:29,FALSE,NA,726070926647824000,52529345,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ATLcoxbaby,0,FALSE,FALSE,NA,NA,4/29/16,15:29:33
6,@Cash_Mohney @DorotheaLasky @morbidanatomy @JSTOR go! NY IS A $50 megabus ticket away.,FALSE,0,Cash_Mohney,4/29/16 15:26,FALSE,7.24709E+17,726070241403490000,746615383,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MMTague,0,FALSE,FALSE,NA,NA,4/29/16,15:26:49
7,obviously man got the megabus with no plugs or wifi...,FALSE,0,NA,4/29/16 15:17,FALSE,NA,726068010541322000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iamkloc,0,FALSE,FALSE,NA,NA,4/29/16,15:17:58
8,@megabus please be good to me í _í¸_ seems like I'm gonna be traveling a long way with y'all. Like 18+ hours one way í _íºŒ,FALSE,0,megabus,4/29/16 15:15,FALSE,NA,726067447032225000,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MeghanSimone_xo,0,FALSE,FALSE,NA,NA,4/29/16,15:15:43
9,And so Everton away begins. On the megabus. Send best wishes my way...,FALSE,0,NA,4/29/16 15:11,FALSE,NA,726066277954019000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ryanbmuff,0,FALSE,FALSE,NA,NA,4/29/16,15:11:04
10,my megabus is late and ive run out of drink and im not feeling too great. i really need ice cream í _í__ when i get off this. still 15mins away.,FALSE,0,NA,4/29/16 15:09,FALSE,NA,726065835224256000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kissakerho,0,FALSE,FALSE,NA,NA,4/29/16,15:09:19
11,"Dillinger Four were totally worth being hungover on a megabus for, which is fuckin saying something.",FALSE,0,NA,4/29/16 15:08,FALSE,NA,726065745860386000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Johniscool88,0,FALSE,FALSE,NA,NA,4/29/16,15:08:58
12,@lolJESS_kidding @GreyhoundBus hey at least you're not using @megabus anymore,FALSE,1,lolJESS_kidding,4/29/16 15:06,FALSE,7.26038E+17,726065177964204000,570483152,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",__meeks_,0,FALSE,FALSE,NA,NA,4/29/16,15:06:42
13,@megabusuk e.g. from Munich: https://t.co/4CvmW2UV6t í _í¸_ #megabusde #MUCBRU,FALSE,1,megabusuk,4/29/16 15:05,FALSE,7.26064E+17,726064950339342000,210765002,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",megabusde,1,FALSE,FALSE,NA,NA,4/29/16,15:05:48
