"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date","time"
"1",1,"RT @FatLadOnBike: This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs",FALSE,0,NA,"2016-04-26 17:15:00",FALSE,NA,725010345719372928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanLaverie",3,TRUE,FALSE,NA,NA,"04/26/16","17:15"
"2",2,"RT @FatLadOnBike: This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs",FALSE,0,NA,"2016-04-26 17:14:00",FALSE,NA,725010170212932992,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OnMeArse_",3,TRUE,FALSE,NA,NA,"04/26/16","17:14"
"3",3,"@MissLadE_Sings Try downloading the megabus mobile app and see if it works.",FALSE,0,"MissLadE_Sings","2016-04-26 17:13:00",FALSE,7.25e+17,725009919607447040,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","megabus",0,FALSE,FALSE,NA,NA,"04/26/16","17:13"
"4",4,"I use @megabus all over the world, and only in the South do they have this annoying video. Does this speak to the riders of the region? ’Ê_’üÂ",FALSE,0,NA,"2016-04-26 17:13:00",FALSE,NA,725009856952937984,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","durellarthur",0,FALSE,FALSE,NA,NA,"04/26/16","17:13"
"5",5,"RT @FatLadOnBike: This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs",FALSE,0,NA,"2016-04-26 17:12:00",FALSE,NA,725009704703896960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronnoclligam",3,TRUE,FALSE,NA,NA,"04/26/16","17:12"
"6",6,"Bruh, I hope they don't play this ""10 minute"" @megabus infomercial/safety video every time we reload! It's annoying and unnecessary. #survey",FALSE,0,NA,"2016-04-26 17:09:00",FALSE,NA,725008792111468032,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","durellarthur",0,FALSE,FALSE,NA,NA,"04/26/16","17:09"
"7",7,"Either someone is cutting their nails on this #megabus or there is a sound very similar to #nailclippers #publictransportproblems",FALSE,0,NA,"2016-04-26 17:04:00",FALSE,NA,725007587016625920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","charlotthopkins",0,FALSE,FALSE,NA,NA,"04/26/16","17:04"
"8",8,"@megabus yes. The mobile site won't highlight the departure date when I select it. It keeps saying please select a departure date",FALSE,0,"megabus","2016-04-26 17:04:00",FALSE,7.25e+17,725007586878184960,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissLadE_Sings",0,FALSE,FALSE,NA,NA,"04/26/16","17:04"
"9",9,"@MissLadE_Sings I'm not sure why it's giving you an issue. We have the 2:35 pm bus available for today.",FALSE,0,"MissLadE_Sings","2016-04-26 17:02:00",FALSE,7.25e+17,725007149731052928,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","megabus",0,FALSE,FALSE,NA,NA,"04/26/16","17:02"
"10",10,"@megabus  your site doesnt work - and I have to pay booking fee over the phone #fail #badcustomerservice",FALSE,0,"megabus","2016-04-26 17:02:00",FALSE,NA,725007098954787968,30965315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arpitgmusic",0,FALSE,FALSE,NA,NA,"04/26/16","17:02"
"11",11,"RT @megabus: Tickets are now available for travel through Sept 6!  Book spring &amp; summer travel today. https://t.co/FRGPUjrdNz https://t.co/‰Û_",FALSE,0,NA,"2016-04-26 17:00:00",FALSE,NA,725006536817425920,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","riley2cool",7,TRUE,FALSE,NA,NA,"04/26/16","17:00"
"12",12,"@megabus yes, for today April 26",FALSE,0,"megabus","2016-04-26 16:58:00",FALSE,7.25e+17,725006053302217984,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissLadE_Sings",0,FALSE,FALSE,NA,NA,"04/26/16","16:58"
"13",13,"@MissLadE_Sings OK for when, today?",FALSE,0,"MissLadE_Sings","2016-04-26 16:57:00",FALSE,7.25e+17,725005813878775040,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","megabus",0,FALSE,FALSE,NA,NA,"04/26/16","16:57"
"14",14,"How To Successfully 'Megabus' Overseas https://t.co/NmOXPPgLkF #travel #ttot",FALSE,0,NA,"2016-04-26 16:55:00",FALSE,NA,725005348331908992,NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","gonegirlsguide",0,FALSE,FALSE,NA,NA,"04/26/16","16:55"
"15",15,"@megabus Hi, I'm trying to leave New York City on the 2:35 bus back to Philadelphia",FALSE,0,"megabus","2016-04-26 16:51:00",FALSE,7.25e+17,725004329585916928,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissLadE_Sings",0,FALSE,FALSE,NA,NA,"04/26/16","16:51"
"16",16,"@MissLadE_Sings Hello. When are you trying to depart and to what city?",FALSE,0,"MissLadE_Sings","2016-04-26 16:50:00",FALSE,7.25e+17,725004057459457920,449443185,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","megabus",0,FALSE,FALSE,NA,NA,"04/26/16","16:50"
"17",17,"This guy sat above the driver pretending to drive the MegaBus. Whatever floats your boat. https://t.co/2IjdjS49Qs",FALSE,2,NA,"2016-04-26 16:47:00",FALSE,NA,725003277415361920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FatLadOnBike",3,FALSE,FALSE,NA,NA,"04/26/16","16:47"
"18",18,"the megabus primary",FALSE,5,NA,"2016-04-26 16:45:00",FALSE,NA,725002943561264896,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aedwardslevy",0,FALSE,FALSE,NA,NA,"04/26/16","16:45"
"19",19,"Megabus site won't let me choose a departure date therefore I can't purchase my ticket. Guess they want me to stay in NY",FALSE,0,NA,"2016-04-26 16:32:00",FALSE,NA,724999622767299968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissLadE_Sings",0,FALSE,FALSE,NA,NA,"04/26/16","16:32"
